Time,Channel A
(ms),(V)

90.89599977,-4.34156300
90.89799977,-4.29944800
90.89999977,-4.30982400
90.90199977,-4.30982400
90.90399977,-4.28907100
90.90599977,-4.28907100
90.90799977,-4.28907100
90.90999977,-4.32081100
90.91199977,-4.27869500
90.91399977,-4.28907100
90.91599977,-4.26770800
90.91799977,-4.32081100
90.91999977,-4.28907100
90.92199977,-4.30982400
90.92399977,-4.29944800
90.92599977,-4.28907100
90.92799977,-4.33118700
90.92999977,-4.28907100
90.93199977,-4.30982400
90.93399977,-4.26770800
90.93599977,-4.33118700
90.93799977,-4.33118700
90.93999977,-4.29944800
90.94199977,-4.26770800
90.94399977,-4.29944800
90.94599977,-4.29944800
90.94799977,-4.27869500
90.94999977,-4.29944800
90.95199977,-4.30982400
90.95399977,-4.32081100
90.95599977,-4.29944800
90.95799977,-4.32081100
90.95999977,-4.34156300
90.96199977,-4.26770800
90.96399977,-4.33118700
90.96599977,-4.28907100
90.96799977,-4.28907100
90.96999977,-4.28907100
90.97199977,-4.28907100
90.97399977,-4.32081100
90.97599977,-4.30982400
90.97799977,-4.33118700
90.97999977,-4.30982400
90.98199977,-4.29944800
90.98399977,-4.30982400
90.98599977,-4.28907100
90.98799977,-4.26770800
90.98999977,-4.30982400
90.99199977,-4.28907100
90.99399977,-4.27869500
90.99599977,-4.33118700
90.99799977,-4.29944800
90.99999977,-4.30982400
91.00199977,-4.29944800
91.00399977,-4.29944800
91.00599977,-4.29944800
91.00799977,-4.32081100
91.00999977,-4.29944800
91.01199977,-4.27869500
91.01399977,-4.32081100
91.01599977,-4.27869500
91.01799977,-4.30982400
91.01999977,-4.30982400
91.02199977,-4.28907100
91.02399977,-4.29944800
91.02599977,-4.32081100
91.02799977,-4.29944800
91.02999977,-4.28907100
91.03199977,-4.34156300
91.03399977,-4.30982400
91.03599977,-4.32081100
91.03799977,-4.27869500
91.03999977,-4.29944800
91.04199977,-4.27869500
91.04399977,-4.30982400
91.04599977,-4.28907100
91.04799977,-4.29944800
91.04999977,-4.29944800
91.05199977,-4.32081100
91.05399977,-4.28907100
91.05599977,-4.32081100
91.05799977,-4.25733200
91.05999977,-4.28907100
91.06199977,-4.30982400
91.06399977,-4.32081100
91.06599977,-4.32081100
91.06799977,-4.32081100
91.06999977,-4.30982400
91.07199977,-4.28907100
91.07399977,-4.29944800
91.07599977,-4.28907100
91.07799977,-4.30982400
91.07999977,-4.29944800
91.08199977,-4.29944800
91.08399977,-4.32081100
91.08599977,-4.26770800
91.08799977,-4.28907100
91.08999977,-4.36292600
91.09199977,-4.29944800
91.09399977,-4.27869500
91.09599977,-4.30982400
91.09799977,-4.28907100
91.09999977,-4.29944800
91.10199977,-4.32081100
91.10399977,-4.30982400
91.10599977,-4.29944800
91.10799977,-4.26770800
91.10999977,-4.30982400
91.11199977,-4.28907100
91.11399977,-4.34156300
91.11599977,-4.27869500
91.11799977,-4.30982400
91.11999977,-4.29944800
91.12199977,-4.28907100
91.12399977,-4.27869500
91.12599977,-4.27869500
91.12799977,-4.32081100
91.12999977,-4.30982400
91.13199977,-4.34156300
91.13399977,-4.32081100
91.13599977,-4.27869500
91.13799977,-4.30982400
91.13999977,-4.29944800
91.14199977,-4.26770800
91.14399977,-4.30982400
91.14599977,-4.28907100
91.14799977,-4.29944800
91.14999977,-4.28907100
91.15199977,-4.30982400
91.15399977,-4.32081100
91.15599977,-4.32081100
91.15799977,-4.29944800
91.15999977,-4.29944800
91.16199977,-4.34156300
91.16399977,-4.30982400
91.16599977,-4.30982400
91.16799977,-4.33118700
91.16999977,-4.26770800
91.17199977,-4.27869500
91.17399977,-4.33118700
91.17599977,-4.32081100
91.17799977,-4.32081100
91.17999977,-4.30982400
91.18199977,-4.30982400
91.18399977,-4.29944800
91.18599977,-4.30982400
91.18799977,-4.28907100
91.18999977,-4.29944800
91.19199977,-4.27869500
91.19399977,-4.30982400
91.19599977,-4.29944800
91.19799977,-4.30982400
91.19999977,-4.28907100
91.20199977,-4.30982400
